accession,family,virus_group,locus_id,gene,mechanism,attr_source,note,ok,locus_start,locus_end,locus_len,locus_mean_abs_attr,mean_enrichment,mass_enrichment,mass_frac,frac_len,p_circular_shift_mass,percentile_vs_equal_length
KF268336,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,9040,13601,4561,0.010055873619899352,1.3933704001015654,1.3178167097985571,0.19206755331477152,0.14574678852176137,0.005994005994005994,1.0
KF268337,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,23907,25218,1311,0.0029931040936270648,0.38720905281476853,0.39741125958910656,0.016648755714633964,0.04189301463539337,0.5344655344655345,0.4891304347826087
KF268337,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,25218,26530,1312,0.0012806148559142744,0.16407538865152496,0.17003443482672112,0.007128688518501284,0.04192496964274302,0.7832167832167832,0.2391304347826087
KF268337,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,26530,27882,1352,0.012955247700770944,1.7779552499034124,1.7201410796297842,0.07431554738011434,0.04320316993672908,0.2517482517482518,0.7640449438202247
KF268337,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,9040,13601,4561,0.011015229539847307,1.5878646932882539,1.4625539604483095,0.2131625427765869,0.14574678852176137,0.000999000999000999,1.0
MF370205,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,20478,21597,1119,0.004811193279766321,0.5621808268887025,0.5725098201884693,0.023591916361864987,0.04120788068495673,0.5374625374625375,0.4574468085106383
MF370205,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,21597,22717,1120,0.0023452242660173543,0.27067621599987596,0.2790708759271614,0.011510196319130875,0.04124470631559565,0.7822177822177823,0.22580645161290322
MF370205,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,22717,23871,1154,0.018950779517727938,2.3880785582621127,2.255055397537613,0.09583258806185387,0.042496777757319096,0.1018981018981019,0.9230769230769231
MF370205,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,13618,20482,6864,0.010421646691972273,1.3497697085450653,1.2401279114897206,0.3134685319277893,0.2527711287055791,0.07192807192807193,0.8333333333333334
MG762674,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,20950,22203,1253,0.014467529962374428,2.1132144196877536,2.0166620569805684,0.08673294286590945,0.043008169149447384,0.15684315684315683,0.8444444444444444
MG762674,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,22203,23456,1253,0.002397147921931858,0.3244354426842431,0.33414392586033365,0.014370918483995779,0.043008169149447384,0.6463536463536463,0.3888888888888889
MG762674,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,23456,24748,1292,0.000852230678623022,0.11412747032506602,0.11879438147664201,0.005268152017274745,0.04434681128578293,0.971028971028971,0.022988505747126436
MG762674,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,8610,12928,4318,0.008006464174947424,1.1390375495464353,1.1160393345960788,0.16541009977409155,0.14821171140248507,0.34165834165834164,0.6521739130434783
MT549854,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,8324,12468,4144,0.008312410711674469,1.0672797932789309,1.0569890354491491,0.1529546587607481,0.14470789538010267,0.3126873126873127,0.5833333333333334
MW218395,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,21532,22871,1339,0.024793553652966538,3.091378618896566,2.829430321591969,0.1252514943367241,0.04426738957947633,0.059940059940059943,0.9310344827586207
MW218395,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,22871,24210,1339,0.003865794202346161,0.43003189131054886,0.44116287185979647,0.01952912871705937,0.04426738957947633,0.5384615384615384,0.45977011494252873
MW218395,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,24210,25591,1381,0.0016111107705805185,0.17695041418055546,0.18385930994533442,0.008394264316320689,0.04565591113462047,0.8201798201798202,0.16666666666666666
MW218395,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,8986,13513,4527,0.009034258961720295,1.0366394582363823,1.0309859811787636,0.1543002359437797,0.14966278762232213,0.42957042957042957,0.6086956521739131
NC_048211,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,19191,20314,1123,0.017096219767417417,1.858465313940935,1.7919794190391778,0.07744738637729215,0.0432189039408867,0.15884115884115885,0.8426966292134831
NC_048211,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,20314,21438,1124,0.0033746047078646235,0.3436745686998934,0.35371691907068586,0.015300870421976673,0.043257389162561576,0.6743256743256744,0.3258426966292135
NC_048211,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,21438,22596,1158,0.0200280046316817,2.2127407299652186,2.099281162308175,0.09355632643193558,0.04456588669950739,0.13986013986013987,0.872093023255814
NC_048211,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,12733,19185,6452,0.011167177146789485,1.2403782805380026,1.1705132414320143,0.29064622205009893,0.2483066502463054,0.2817182817182817,0.6923076923076923
ON648240,Coronaviridae,SARS-CoV-2,S_RBD,S,receptor_binding,dense_stitched,RBD,True,22515,23185,670,0.010253807500963842,1.0649209649440416,1.0633661802585297,0.02394888368700961,0.022521765437493697,0.2627372627372627,0.7371428571428571
ON648240,Coronaviridae,SARS-CoV-2,S_NTD,S,entry_surface,dense_stitched,N-terminal domain,True,21561,22480,919,0.026483733255884302,2.90839859016095,2.746482832741604,0.08484378376991628,0.030891794682174192,0.12487512487512488,0.8888888888888888
ON648240,Coronaviridae,SARS-CoV-2,S_furin_cleavage,S,cleavage_activation,dense_stitched,PRRA furin site neighborhood,True,23602,23617,15,0.0049016406759619345,0.5081962391978068,0.508322290232356,0.00025630556887987557,0.0005042186291976201,0.3106893106893107,0.6626311541565779
ON648240,Coronaviridae,SARS-CoV-2,S_S2_fusion,S,fusion,dense_stitched,S2 including fusion peptide region,True,23617,25384,1767,0.002883821262852262,0.28638902139671796,0.29906529848778796,0.017763567932932812,0.05939695451947965,0.6933066933066933,0.296875
ON648240,Coronaviridae,SARS-CoV-2,ORF1ab_nsp1,ORF1ab,host_shutoff,dense_stitched,nsp1,True,264,805,541,0.011943315196689345,1.2440732957729397,1.2385757640758268,0.02252410126060939,0.018185485226394165,0.23076923076923078,0.7880184331797235
ON648240,Coronaviridae,SARS-CoV-2,ORF1ab_nsp3_macro,ORF1ab,host_interaction,dense_stitched,nsp3 / macrodomain-containing,True,2719,8550,5831,0.009225258595260584,0.9467076434430733,0.956701010215262,0.18751970118638117,0.19600658845675484,0.5454545454545454,0.29411764705882354
ON648240,Coronaviridae,SARS-CoV-2,ORF1ab_RdRp,ORF1ab,replication,dense_stitched,RdRp (nsp12),True,13440,16236,2796,0.00308596193272266,0.29894156542932887,0.32002819953708483,0.030078283166331966,0.09398635248243638,0.8481518481518482,0.15384615384615385
ON648240,Coronaviridae,SARS-CoV-2,N_protein,N,structural_immune,dense_stitched,nucleocapsid,True,28272,29533,1261,0.001355575148785558,0.13542739270452164,0.1405792694969149,0.005958871183562197,0.04238797942787993,0.8881118881118881,0.12087912087912088
ON648240,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,21528,22786,1258,0.024072216722828443,2.673009796858853,2.4963976693569383,0.10556550701285063,0.0422871357020404,0.13586413586413587,0.8791208791208791
ON648240,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,22786,24044,1258,0.006808244089195411,0.6969990901711371,0.7060456821395534,0.029856649573181022,0.0422871357020404,0.3986013986013986,0.5934065934065934
ON648240,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,24044,25341,1297,0.0024087501484650682,0.24153807177824083,0.249798276823968,0.01089073128670267,0.043598104137954216,0.6733266733266733,0.3181818181818182
ON648240,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,14285,21521,7236,0.009470561091197293,0.9765342288562133,0.9821399876982906,0.23889088544199968,0.24323506672493192,0.5194805194805194,0.3076923076923077
OQ297728,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,20620,21956,1336,0.008913894804002122,0.8654883787344544,0.8709869704976358,0.04087819126711287,0.04693318344691913,0.4195804195804196,0.5975609756097561
OQ297728,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,21956,23293,1337,0.0029291585618044435,0.2764853574875849,0.2862114707375559,0.013442869963614821,0.04696831307524767,0.6883116883116883,0.3048780487804878
OQ297728,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,23293,24670,1377,0.012126775772510099,1.196165239467148,1.1849212857287927,0.057318787693468605,0.04837349820838895,0.36163836163836166,0.6708860759493671
OQ297728,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,8424,12627,4203,0.014289564777563015,1.4991533972403939,1.396249900765293,0.20615605750566546,0.1476498278648212,0.0969030969030969,0.875
EPI_ISL_68090,Orthomyxoviridae,H1N1,HA_Q226,HA,receptor_binding,four_genome_ha_prior_window,HA 226 receptor specificity,True,7512,7521,9,0.0019614213249749108,0.2434696511262839,0.2438750440451039,0.0005358582513195428,0.002197265625,0.5944055944055944,0.40655577299412915
EPI_ISL_68090,Orthomyxoviridae,H1N1,HA_G228,HA,receptor_binding,four_genome_ha_prior_window,HA 228 receptor specificity,True,7518,7527,9,0.0018246348352274557,0.22648198604450376,0.2268675756408525,0.0004984883256096001,0.002197265625,0.6333666333666333,0.361545988258317
EPI_ISL_68090,Orthomyxoviridae,H1N1,HA_E190,HA,receptor_binding,four_genome_ha_prior_window,HA 190 receptor/antigenic,True,7404,7413,9,0.0020878354423782444,0.2591702893777409,0.2595928544191985,0.000570394455770527,0.002197265625,0.5524475524475524,0.44031311154598823
EPI_ISL_68090,Orthomyxoviridae,H1N1,HA_cleavage_loop,HA,cleavage_activation,four_genome_ha_prior_window,HA cleavage-loop neighborhood (±5 aa),True,7797,7830,33,0.0020928706508129393,0.258664709390902,0.2602189115707592,0.0020964902546144804,0.008056640625,0.5664335664335665,0.4330708661417323
EPI_ISL_372,Orthomyxoviridae,H5N1,HA_Q226,HA,receptor_binding,four_genome_ha_prior_window,HA 226 receptor specificity,True,7512,7521,9,0.0017630662898429112,0.19594425725041695,0.19629104927764102,0.00043130357526923276,0.002197265625,0.5974025974025974,0.3967710371819961
EPI_ISL_372,Orthomyxoviridae,H5N1,HA_G228,HA,receptor_binding,four_genome_ha_prior_window,HA 228 receptor specificity,True,7518,7527,9,0.0019431340559902556,0.2159662070232869,0.21633890054776678,0.00047535402974024053,0.002197265625,0.5564435564435565,0.4334637964774951
EPI_ISL_372,Orthomyxoviridae,H5N1,HA_E190,HA,receptor_binding,four_genome_ha_prior_window,HA 190 receptor/antigenic,True,7404,7413,9,0.0026276967255398223,0.29209965751825206,0.29255471017234996,0.0006428204083860971,0.002197265625,0.47352647352647353,0.5205479452054794
EPI_ISL_372,Orthomyxoviridae,H5N1,HA_cleavage_loop,HA,cleavage_activation,four_genome_ha_prior_window,HA cleavage-loop neighborhood (±5 aa),True,7797,7830,33,0.0017835110722278424,0.19728309538506322,0.19856726993116172,0.0015997851339213057,0.008056640625,0.5974025974025974,0.39173228346456695
EPI_ISL_142932,Orthomyxoviridae,H7N9,HA_Q226,HA,receptor_binding,four_genome_ha_prior_window,HA 226 receptor specificity,True,7512,7521,9,0.0034671038803126557,0.6069230693216062,0.6074477182547751,0.00133472399091335,0.002197265625,0.3146853146853147,0.6819960861056752
EPI_ISL_142932,Orthomyxoviridae,H7N9,HA_G228,HA,receptor_binding,four_genome_ha_prior_window,HA 228 receptor specificity,True,7518,7527,9,0.0022623884853803,0.3958515365488394,0.3963777177412434,0.0008709471341051645,0.002197265625,0.5034965034965035,0.48581213307240706
EPI_ISL_142932,Orthomyxoviridae,H7N9,HA_E190,HA,receptor_binding,four_genome_ha_prior_window,HA 190 receptor/antigenic,True,7404,7413,9,0.002971473757901911,0.5200627207041091,0.5206117314052574,0.0011439222619091167,0.002197265625,0.3646353646353646,0.6193737769080235
EPI_ISL_142932,Orthomyxoviridae,H7N9,HA_cleavage_loop,HA,cleavage_activation,four_genome_ha_prior_window,HA cleavage-loop neighborhood (±5 aa),True,7797,7830,33,0.0021362223443715817,0.3723804921557501,0.37427300536662084,0.0030153831002518337,0.008056640625,0.5324675324675324,0.4547244094488189
OY964438,Coronaviridae,SARS-CoV-2,S_RBD,S,receptor_binding,four_genome_spike_prior_window,RBD,True,22515,23185,670,0.002900186884425419,0.1554859891089713,0.1804076287578225,0.029510036930781258,0.16357421875,0.5794205794205795,0.47619047619047616
OY964438,Coronaviridae,SARS-CoV-2,S_NTD,S,entry_surface,four_genome_spike_prior_window,N-terminal domain,True,21561,22480,919,0.007134536932849795,0.38230010884643667,0.4438075688345425,0.09957498919940488,0.224365234375,0.3856143856143856,0.7142857142857143
OY964438,Coronaviridae,SARS-CoV-2,S_furin_cleavage,S,cleavage_activation,four_genome_spike_prior_window,PRRA furin site neighborhood,True,23602,23617,15,0.001949677880232493,0.1208902726854837,0.12128072332487301,0.00044414327401607934,0.003662109375,0.6783216783216783,0.32770022042615726
OY964438,Coronaviridae,SARS-CoV-2,S_S2_fusion,S,fusion,four_genome_spike_prior_window,S2 including fusion peptide region,True,23617,24870,1253,0.0014658420263255884,0.06510573828048119,0.09118346321882136,0.027893769388075352,0.305908203125,1.0,0.0
