accession,organism,analysis,window_start,window_end,class,frac_len_in_window,mean_attr_in,mean_attr_out,mean_enrichment,mass_frac,mass_enrichment,top_q,top_top_n,top_top_in_mask,top_mask_n,top_obs_top_frac_in_mask,top_expected_frac,top_enrichment_vs_length,top_p_hypergeom,top_p_shift_top_frac,top_p_shift_mass_enrichment,p_circular_shift_mass,note
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,entry_interface,0.90771484375,0.012211909061581407,0.0008498031673576711,14.370279531379497,0.9929748524824019,1.0939281860579444,0.1,410,410,3718,1.0,0.90771484375,1.1016675632048112,6.1191388356003615e-19,0.6366816591704147,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,other,0.0068359375,0.0009540877144899644,0.009414199746697745,0.10134559921831204,0.0006970744115639999,0.10197202819101664,0.1,410,0,28,0.0,0.0068359375,0.0,1.0,1.0,0.7961019490254873,0.7961019490254873,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,entry_interface,0.6298828125,0.0017083892706871815,0.018580091048027693,0.09194730350196695,0.13530731795372802,0.21481347842542253,0.1,410,0,2580,0.0,0.6298828125,0.0,1.0,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,polymerase_replicase,0.06640625,0.05606360168209951,0.004530795682440337,12.373897569334453,0.46812802674034965,7.04945734374852,0.1,410,255,272,0.6219512195121951,0.06640625,9.365853658395546,7.459567784427234e-271,0.001999000499750125,0.011494252873563218,0.011494252873563218,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,host_interaction_broad,0.6962890625,0.0068923365974417955,0.010384339526751543,0.6637241183886708,0.6034353446940778,0.8666448709198432,0.1,410,255,2852,0.6219512195121951,0.6962890625,0.8932370950625149,0.999719487188862,0.671664167916042,0.6751624187906047,0.6751624187906047,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,rbd,0.0,,0.007952896080855204,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,structural_other,0.0,,0.007952896080855204,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
KF268337,Murine coronavirus,spike_centered_window,21452,25548,other,0.3037109375,0.010384339526751543,0.0068923365974417955,1.506650085923816,0.39656465530589163,1.3057305692343923,0.1,410,155,1244,0.3780487804878049,0.3037109375,1.2447651164573557,0.0004184576143374255,0.3308345827086457,0.32533733133433285,0.32533733133433285,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,entry_interface,0.93115234375,0.006143673387124749,0.11636799280961033,0.052795216612324086,0.4165850666949506,0.44738658447317387,0.1,410,162,3814,0.3951219512195122,0.93115234375,0.4243365265320881,1.0,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,polymerase_replicase,0.0869140625,0.1077870948009946,0.004779555754451826,22.551697341452368,0.6821999041314615,7.849131481152573,0.1,410,314,356,0.7658536585365854,0.0869140625,8.811619621712811,0.0,0.00399800099950025,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,host_interaction_broad,1.0,0.013732359441114237,,,0.9999999999999822,0.9999999999989821,0.1,410,410,4096,1.0,1.0,0.9999999999989999,1.0,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,rbd,0.0,,0.013732359441114237,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,structural_other,0.0,,0.013732359441114237,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
EF065509,Pipistrellus bat coronavirus HKU5,spike_centered_window,21452,25548,other,0.0,,0.013732359441114237,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,entry_interface,0.590576171875,0.01207167450732744,0.001090895988918766,11.065834534135739,0.9410446461317313,1.593434836936356,0.1,410,410,2419,1.0,0.590576171875,1.6932616783766286,2.7701225705166098e-101,0.28785607196401797,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.007575882130527796,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,host_interaction_broad,0.7587890625,0.009722862087167328,0.0008220221049856208,11.827981301472914,0.9738273749283202,1.2833966948845374,0.1,410,410,3108,1.0,0.7587890625,1.317889317887581,6.0845737626882875e-53,0.46276861569215394,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,rbd,0.0,,0.007575882130527796,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,structural_other,0.241455078125,0.0008248189801950775,0.009724836573939143,0.08481571632838003,0.026288256320601444,0.10887431535767196,0.1,410,0,989,0.0,0.241455078125,0.0,1.0,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MF370205,Rhinolophus bat coronavirus HKU2,spike_centered_window,21452,25548,other,0.004638671875,0.0008556392399201526,0.007607200407427857,0.11247754681008344,0.0005239033037974876,0.11294252273115245,0.1,410,0,19,0.0,0.004638671875,0.0,1.0,1.0,0.9345327336331835,0.9345327336331835,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,entry_interface,0.0,,0.009863275729402106,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.009863275729402106,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,host_interaction_broad,0.157470703125,0.0007798425492499757,0.011560990710914168,0.06745464716218173,0.012450463509918233,0.07906526904852904,0.1,410,0,645,0.0,0.157470703125,0.0,1.0,1.0,0.95952023988006,0.95952023988006,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,rbd,0.0,,0.009863275729402106,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,structural_other,0.0,,0.009863275729402106,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MT549854,Rodent coronavirus,spike_centered_window,21452,25548,other,0.842529296875,0.011560990710914168,0.0007798425492499757,14.82477549094123,0.9875495364900571,1.1721248627813599,0.1,410,410,3451,1.0,0.842529296875,1.186902347144346,4.969184769866671e-33,0.43278360819590206,0.04097951024487756,0.04097951024487756,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,entry_interface,0.8046875,0.005996072762296416,0.0007193503114739938,8.335400244715384,0.9717049325922679,1.207555644385007,0.1,410,407,3296,0.9926829268292683,0.8046875,1.2336253847960044,2.33153578475744e-36,0.6111944027986007,0.004997501249375313,0.004997501249375313,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.004965462908620161,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,host_interaction_broad,0.8046875,0.005996072762296416,0.0007193503114739938,8.335400244715384,0.9717049325922679,1.207555644385007,0.1,410,407,3296,0.9926829268292683,0.8046875,1.2336253847960044,2.33153578475744e-36,0.6111944027986007,0.004997501249375313,0.004997501249375313,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,rbd,0.0,,0.004965462908620161,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,structural_other,0.02734375,0.0005868703180047342,0.005088555873014972,0.1153314088810453,0.003231770240410573,0.11819045450212143,0.1,410,0,112,0.0,0.02734375,0.0,1.0,1.0,0.9790104947526237,0.9790104947526237,IG window was spike-prioritized; interpret within-window only
MG762674,Rousettus bat coronavirus HKU9,spike_centered_window,21452,25548,other,0.16796875,0.0007409168220387569,0.005818305545817346,0.12734237076486743,0.025063297167272496,0.14921404825078047,0.1,410,3,688,0.007317073170731708,0.16796875,0.043562110039445705,1.0,0.6626686656671664,0.9190404797601199,0.9190404797601199,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,entry_interface,0.930908203125,0.009564691524935932,0.03323057945617165,0.2878280090646917,0.7950000584615851,0.8540047834920416,0.1,410,334,3813,0.8146341463414634,0.930908203125,0.8750961089459873,1.0,0.855072463768116,0.8775612193903048,0.8775612193903048,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,polymerase_replicase,0.016845703125,0.1220968244462341,0.009299662747426652,13.129166913071122,0.18364658077343668,10.901686881207874,0.1,410,69,69,0.16829268292682928,0.016845703125,9.990243901845982,4.3966454140586856e-72,0.013993003498250875,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,host_interaction_broad,0.996337890625,0.0110608687873133,0.049001149976781205,0.22572671850669632,0.9839776240166118,0.9875943023690265,0.1,410,403,4081,0.9829268292682927,0.996337890625,0.9865396453513565,0.999967798056078,0.9175412293853074,0.9580209895052474,0.9580209895052474,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,rbd,0.163330078125,0.0051047256752717275,0.01238965897108856,0.4120150269820723,0.07444369368587679,0.45578680020251783,0.1,410,0,669,0.0,0.163330078125,0.0,1.0,1.0,0.41579210394802596,0.41579210394802596,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,structural_other,0.0,,0.011199810246747384,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
ON648240,Severe acute respiratory syndrome coronavirus 2,spike_centered_window,21452,25548,other,0.003662109375,0.049001149976781205,0.0110608687873133,4.43013572613618,0.016022375983366522,4.375176800663237,0.1,410,7,15,0.01707317073170732,0.003662109375,4.6621138198651435,0.0003017033652147738,0.13843078460769614,0.04247876061969016,0.04247876061969016,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,entry_interface,0.98046875,0.006478881980834813,0.08084974732482801,0.08013484513198008,0.8009066403253653,0.8168609558688622,0.1,410,331,4016,0.8073170731707318,0.98046875,0.8233990865796675,1.0,1.0,0.9895052473763118,0.9895052473763118,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,polymerase_replicase,0.033203125,0.06925813272348876,0.005825268628945551,11.889259901139594,0.2899331059703489,8.732102956020459,0.1,410,134,136,0.32682926829268294,0.033203125,9.84332855063611,1.7399341303010288e-140,0.008995502248875561,0.0014992503748125937,0.0014992503748125937,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,host_interaction_broad,1.0,0.00793143794458468,,,0.9999999999999691,0.999999999998969,0.1,410,410,4096,1.0,1.0,0.9999999999989999,1.0,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,rbd,0.0,,0.00793143794458468,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,structural_other,0.0,,0.00793143794458468,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
MW218395,Tylonycteris bat coronavirus HKU4,spike_centered_window,21452,25548,other,0.0,,0.00793143794458468,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,entry_interface,0.279296875,0.04036524135062151,0.002367650185790938,17.04865084921195,0.8685409179374808,3.1097409089678183,0.1,410,407,1144,0.9926829268292683,0.279296875,3.5542213883550047,2.8549716079845983e-246,0.11544227886056972,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.012980258655655726,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,host_interaction_broad,0.279296875,0.04036524135062151,0.002367650185790938,17.04865084921195,0.8685409179374808,3.1097409089678183,0.1,410,407,1144,0.9926829268292683,0.279296875,3.5542213883550047,2.8549716079845983e-246,0.11544227886056972,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,rbd,0.0,,0.012980258655655726,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,structural_other,0.492919921875,0.0016223477616655073,0.024021001118326047,0.06753872387224484,0.06160798125434812,0.12498578069207428,0.1,410,0,2019,0.0,0.492919921875,0.0,1.0,1.0,0.9430284857571214,0.9430284857571214,IG window was spike-prioritized; interpret within-window only
NC_048211,Wencheng Sm shrew coronavirus,spike_centered_window,21452,25548,other,0.227783203125,0.003980475045715101,0.01563495296740868,0.254588232789217,0.06985110080815228,0.30665606528288925,0.1,410,3,933,0.007317073170731708,0.227783203125,0.03212297074725134,1.0,0.8020989505247377,0.6256871564217891,0.6256871564217891,IG window was spike-prioritized; interpret within-window only
