accession,W,mask_mode,genome_len,mask_start,mask_end,mask_frac,top_window,top_pol_frac,top_is_pol,top_mean_abs,mask_mean_abs,genome_mean_abs,mask_enrichment,span_source,top_frag_frac
MF370205,5,orf1ab_full,27155.0,296.0,20482.0,0.7433621800773338,0,0.9454980666543915,True,0.011510264851964888,0.008555934781597671,0.008403686906306182,1.0181167952815142,genbank,
MG762674,5,orf1ab_full,29134.0,229.0,20991.0,0.7126381547333013,2,1.0,True,0.010168844560133294,0.0065930389418154154,0.007173998197645154,0.9190187619477745,genbank,
MT549854,5,orf1ab_full,28637.0,282.0,20507.0,0.7062541467332472,2,1.0,True,0.010562901998049122,0.007813722015213046,0.007864235515068303,0.9935768073376656,genbank,
MW218395,5,orf1ab_full,30248.0,199.0,21588.0,0.7071211319756678,0,0.9671020003306332,True,0.012834349213452752,0.008324292491240648,0.00876273695916864,0.9499648945334096,genbank,
NC_048211,5,orf1ab_full,25984.0,211.0,19185.0,0.7302185960591133,3,0.6917452376370983,True,0.013690382965329224,0.009378029686246202,0.009540410780045909,0.9829796538594194,genbank,
ON648240,5,orf1ab_full,29749.0,240.0,21521.0,0.7153517765303036,3,0.6171428571428571,True,0.0122457885872604,0.009774987092763693,0.009642781283504405,1.0137103399291496,genbank,
OQ297728,5,orf1ab_full,28466.0,267.0,12627.0,0.434202206140659,2,0.21798700158088882,False,0.01576509120852163,0.011228131669353675,0.010234245867902291,1.0971137311219494,genbank,
EF065509,7,orf1ab_full,30481.0,260.0,21808.0,0.7069321872641974,1,1.0,True,0.008764889136984484,0.006685567079779258,0.007115994404201165,0.9395126949273892,genbank,
GU190215,7,orf1ab_full,29276.0,190.0,21384.0,0.7239376964066129,5,0.11310377809660449,False,0.011147525938521993,0.008912052136209237,0.008388786350421517,1.0623768163748057,genbank,
KF268336,7,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,2,1.0,True,0.010225692096473454,0.007436161514847341,0.007630707324516673,0.9745048785917557,genbank,
KF268337,7,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,2,1.0,True,0.011201923761561821,0.007462970580650705,0.007531502999311722,0.9909005654426108,genbank,
MF370205,7,orf1ab_full,27155.0,296.0,20482.0,0.7433621800773338,4,1.0,True,0.011299765883560782,0.008555934781597671,0.008403686906306182,1.0181167952815142,genbank,
MG762674,7,orf1ab_full,29134.0,229.0,20991.0,0.7126381547333013,6,0.0,False,0.009701351379284505,0.0065930389418154154,0.007173998197645154,0.9190187619477745,genbank,
MT549854,7,orf1ab_full,28637.0,282.0,20507.0,0.7062541467332472,3,1.0,True,0.009883202630078573,0.007813722015213046,0.007864235515068303,0.9935768073376656,genbank,
MW218395,7,orf1ab_full,30248.0,199.0,21588.0,0.7071211319756678,2,1.0,True,0.01126519680892653,0.008324292491240648,0.00876273695916864,0.9499648945334096,genbank,
NC_048211,7,orf1ab_full,25984.0,211.0,19185.0,0.7302185960591133,5,0.16837284482758622,False,0.017450391575377814,0.009378029686246202,0.009540410780045909,0.9829796538594194,genbank,
ON648240,7,orf1ab_full,29749.0,240.0,21521.0,0.7153517765303036,5,0.064,False,0.016228796948784888,0.009774987092763693,0.009642781283504405,1.0137103399291496,genbank,
OQ297728,7,orf1ab_full,28466.0,267.0,12627.0,0.434202206140659,3,0.10523727563314482,False,0.014554532931144146,0.011228131669353675,0.010234245867902291,1.0971137311219494,genbank,
EF065509,10,orf1ab_full,30481.0,260.0,21808.0,0.7069321872641974,1,1.0,True,0.01140621080826214,0.006685567079779258,0.007115994404201165,0.9395126949273892,genbank,
GU190215,10,orf1ab_full,29276.0,190.0,21384.0,0.7239376964066129,7,0.3044072429108302,False,0.015226318544758278,0.008912052136209237,0.008388786350421517,1.0623768163748057,genbank,
KF268336,10,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,7,0.0,False,0.012836545009209478,0.007436161514847341,0.007630707324516673,0.9745048785917557,genbank,
KF268337,10,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,7,0.0,False,0.012630650229997872,0.007462970580650705,0.007531502999311722,0.9909005654426108,genbank,
MF370205,10,orf1ab_full,27155.0,296.0,20482.0,0.7433621800773338,0,0.89097605893186,True,0.013335645873430542,0.008555934781597671,0.008403686906306182,1.0181167952815142,genbank,
MG762674,10,orf1ab_full,29134.0,229.0,20991.0,0.7126381547333013,4,1.0,True,0.011898572870089927,0.0065930389418154154,0.007173998197645154,0.9190187619477745,genbank,
MT549854,10,orf1ab_full,28637.0,282.0,20507.0,0.7062541467332472,4,1.0,True,0.013211037165178748,0.007813722015213046,0.007864235515068303,0.9935768073376656,genbank,
MW218395,10,orf1ab_full,30248.0,199.0,21588.0,0.7071211319756678,1,1.0,True,0.013192865130504017,0.008324292491240648,0.00876273695916864,0.9499648945334096,genbank,
NC_048211,10,orf1ab_full,25984.0,211.0,19185.0,0.7302185960591133,7,0.3836090804155444,False,0.024179950040439078,0.009378029686246202,0.009540410780045909,0.9829796538594194,genbank,
ON648240,10,orf1ab_full,29749.0,240.0,21521.0,0.7153517765303036,7,0.2342857142857143,False,0.021833054250276884,0.009774987092763693,0.009642781283504405,1.0137103399291496,genbank,
OQ297728,10,orf1ab_full,28466.0,267.0,12627.0,0.434202206140659,4,0.4358974358974359,False,0.02011527377019233,0.011228131669353675,0.010234245867902291,1.0971137311219494,genbank,
EF065509,3,orf1ab_ct,30481.0,14481.0,21808.0,0.2403792526491913,0,0.0,False,0.008958486632296423,0.004448093175081591,0.007115994404201165,0.6250838494835677,genbank,
GU190215,3,orf1ab_ct,29276.0,14178.0,21384.0,0.24614018308512092,0,0.0,False,0.009784331696333203,0.009646137372613358,0.008388786350421517,1.1498847353680264,genbank,
KF268336,3,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,0,0.1333525069504362,False,0.008486042712258562,0.010055873619899352,0.007630707324516673,1.3178167098076048,genbank,
KF268337,3,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,0,0.1333525069504362,False,0.00881633243444492,0.011015229539847307,0.007531502999311722,1.4625539604583508,genbank,
MF370205,3,orf1ab_ct,27155.0,13618.0,20482.0,0.2527711287055791,0,0.0,False,0.009419460351017657,0.010421646691972273,0.008403686906306182,1.2401279114946322,genbank,
MG762674,3,orf1ab_ct,29134.0,8610.0,12928.0,0.14821171140248507,2,0.0,False,0.007557488881507097,0.008006464174947424,0.007173998197645154,1.1160393346036142,genbank,
MT549854,3,orf1ab_ct,28637.0,8324.0,12468.0,0.14470789538010267,0,0.1279203771608172,False,0.008965378397345356,0.008312410711674469,0.007864235515068303,1.0569890354564582,genbank,
MW218395,3,orf1ab_ct,30248.0,8986.0,13513.0,0.14966278762232213,0,0.10870858956556238,False,0.0122836232587006,0.009034258961720295,0.00876273695916864,1.0309859811856563,genbank,
NC_048211,3,orf1ab_ct,25984.0,12733.0,19185.0,0.2483066502463054,2,0.21507734934195336,False,0.011497488803671914,0.011167177146789485,0.009540410780045909,1.1705132414367327,genbank,
ON648240,3,orf1ab_ct,29749.0,14285.0,21521.0,0.24323506672493192,0,0.0,False,0.011509313275381225,0.009470561091197293,0.009642781283504405,0.9821399877023319,genbank,
OQ297728,3,orf1ab_ct,28466.0,8424.0,12627.0,0.1476498278648212,0,0.112141652613828,False,0.012235068447974222,0.014289564777563015,0.010234245867902291,1.3962499007747544,genbank,
EF065509,5,orf1ab_ct,30481.0,14481.0,21808.0,0.2403792526491913,0,0.0,False,0.01003706313596483,0.004448093175081591,0.007115994404201165,0.6250838494835677,genbank,
GU190215,5,orf1ab_ct,29276.0,14178.0,21384.0,0.24614018308512092,0,0.0,False,0.01030037965209765,0.009646137372613358,0.008388786350421517,1.1498847353680264,genbank,
KF268336,5,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,2,0.1731906055280396,False,0.010365231097039896,0.010055873619899352,0.007630707324516673,1.3178167098076048,genbank,
KF268337,5,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,2,0.1731906055280396,False,0.010021687767622895,0.011015229539847307,0.007531502999311722,1.4625539604583508,genbank,
MF370205,5,orf1ab_ct,27155.0,13618.0,20482.0,0.2527711287055791,0,0.0,False,0.011510264851964888,0.010421646691972273,0.008403686906306182,1.2401279114946322,genbank,
MG762674,5,orf1ab_ct,29134.0,8610.0,12928.0,0.14821171140248507,2,0.21880899262055947,False,0.010168844560133294,0.008006464174947424,0.007173998197645154,1.1160393346036142,genbank,
MT549854,5,orf1ab_ct,28637.0,8324.0,12468.0,0.14470789538010267,2,0.17702513966480446,False,0.010562901998049122,0.008312410711674469,0.007864235515068303,1.0569890354564582,genbank,
MW218395,5,orf1ab_ct,30248.0,8986.0,13513.0,0.14966278762232213,0,0.0,False,0.012834349213452752,0.009034258961720295,0.00876273695916864,1.0309859811856563,genbank,
NC_048211,5,orf1ab_ct,25984.0,12733.0,19185.0,0.2483066502463054,3,0.6917452376370983,True,0.013690382965329224,0.011167177146789485,0.009540410780045909,1.1705132414367327,genbank,
ON648240,5,orf1ab_ct,29749.0,14285.0,21521.0,0.24323506672493192,3,0.6171428571428571,True,0.0122457885872604,0.009470561091197293,0.009642781283504405,0.9821399877023319,genbank,
OQ297728,5,orf1ab_ct,28466.0,8424.0,12627.0,0.1476498278648212,2,0.21798700158088882,False,0.01576509120852163,0.014289564777563015,0.010234245867902291,1.3962499007747544,genbank,
EF065509,7,orf1ab_ct,30481.0,14481.0,21808.0,0.2403792526491913,1,0.0,False,0.008764889136984484,0.004448093175081591,0.007115994404201165,0.6250838494835677,genbank,
GU190215,7,orf1ab_ct,29276.0,14178.0,21384.0,0.24614018308512092,5,0.11310377809660449,False,0.011147525938521993,0.009646137372613358,0.008388786350421517,1.1498847353680264,genbank,
KF268336,7,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,2,0.9778523489932885,True,0.010225692096473454,0.010055873619899352,0.007630707324516673,1.3178167098076048,genbank,
KF268337,7,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,2,0.9778523489932885,True,0.011201923761561821,0.011015229539847307,0.007531502999311722,1.4625539604583508,genbank,
MF370205,7,orf1ab_ct,27155.0,13618.0,20482.0,0.2527711287055791,4,1.0,True,0.011299765883560782,0.010421646691972273,0.008403686906306182,1.2401279114946322,genbank,
MG762674,7,orf1ab_ct,29134.0,8610.0,12928.0,0.14821171140248507,6,0.0,False,0.009701351379284505,0.008006464174947424,0.007173998197645154,1.1160393346036142,genbank,
MT549854,7,orf1ab_ct,28637.0,8324.0,12468.0,0.14470789538010267,3,0.04766560743094598,False,0.009883202630078573,0.008312410711674469,0.007864235515068303,1.0569890354564582,genbank,
MW218395,7,orf1ab_ct,30248.0,8986.0,13513.0,0.14966278762232213,2,0.920388798889146,True,0.01126519680892653,0.009034258961720295,0.00876273695916864,1.0309859811856563,genbank,
NC_048211,7,orf1ab_ct,25984.0,12733.0,19185.0,0.2483066502463054,5,0.16837284482758622,False,0.017450391575377814,0.011167177146789485,0.009540410780045909,1.1705132414367327,genbank,
ON648240,7,orf1ab_ct,29749.0,14285.0,21521.0,0.24323506672493192,5,0.064,False,0.016228796948784888,0.009470561091197293,0.009642781283504405,0.9821399877023319,genbank,
OQ297728,7,orf1ab_ct,28466.0,8424.0,12627.0,0.1476498278648212,3,0.10523727563314482,False,0.014554532931144146,0.014289564777563015,0.010234245867902291,1.3962499007747544,genbank,
EF065509,10,orf1ab_ct,30481.0,14481.0,21808.0,0.2403792526491913,1,0.0,False,0.01140621080826214,0.004448093175081591,0.007115994404201165,0.6250838494835677,genbank,
GU190215,10,orf1ab_ct,29276.0,14178.0,21384.0,0.24614018308512092,7,0.3044072429108302,False,0.015226318544758278,0.009646137372613358,0.008388786350421517,1.1498847353680264,genbank,
KF268336,10,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,7,0.0,False,0.012836545009209478,0.010055873619899352,0.007630707324516673,1.3178167098076048,genbank,
KF268337,10,orf1ab_ct,31294.0,9040.0,13601.0,0.14574678852176137,7,0.0,False,0.012630650229997872,0.011015229539847307,0.007531502999311722,1.4625539604583508,genbank,
MF370205,10,orf1ab_ct,27155.0,13618.0,20482.0,0.2527711287055791,0,0.0,False,0.013335645873430542,0.010421646691972273,0.008403686906306182,1.2401279114946322,genbank,
MG762674,10,orf1ab_ct,29134.0,8610.0,12928.0,0.14821171140248507,4,0.43754289636238847,False,0.011898572870089927,0.008006464174947424,0.007173998197645154,1.1160393346036142,genbank,
MT549854,10,orf1ab_ct,28637.0,8324.0,12468.0,0.14470789538010267,4,0.3540502793296089,False,0.013211037165178748,0.008312410711674469,0.007864235515068303,1.0569890354564582,genbank,
MW218395,10,orf1ab_ct,30248.0,8986.0,13513.0,0.14966278762232213,1,0.0,False,0.013192865130504017,0.009034258961720295,0.00876273695916864,1.0309859811856563,genbank,
NC_048211,10,orf1ab_ct,25984.0,12733.0,19185.0,0.2483066502463054,7,0.3836090804155444,False,0.024179950040439078,0.011167177146789485,0.009540410780045909,1.1705132414367327,genbank,
ON648240,10,orf1ab_ct,29749.0,14285.0,21521.0,0.24323506672493192,7,0.2342857142857143,False,0.021833054250276884,0.009470561091197293,0.009642781283504405,0.9821399877023319,genbank,
OQ297728,10,orf1ab_ct,28466.0,8424.0,12627.0,0.1476498278648212,4,0.4358974358974359,False,0.02011527377019233,0.014289564777563015,0.010234245867902291,1.3962499007747544,genbank,
EF065509,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
GU190215,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
KF268336,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
KF268337,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
MF370205,3,peakfrag250_orf1ab,,,,,0,,False,,,,,,0.0
MG762674,3,peakfrag250_orf1ab,,,,,2,,True,,,,,,0.504
MT549854,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
MW218395,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
NC_048211,3,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
ON648240,3,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
OQ297728,3,peakfrag250_orf1ab,,,,,0,,False,,,,,,0.0
EF065509,5,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
GU190215,5,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
KF268336,5,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
KF268337,5,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
MF370205,5,peakfrag250_orf1ab,,,,,0,,False,,,,,,0.0
MG762674,5,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
MT549854,5,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
MW218395,5,peakfrag250_orf1ab,,,,,0,,True,,,,,,1.0
NC_048211,5,peakfrag250_orf1ab,,,,,3,,True,,,,,,1.0
ON648240,5,peakfrag250_orf1ab,,,,,3,,True,,,,,,0.572
OQ297728,5,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
EF065509,7,peakfrag250_orf1ab,,,,,1,,True,,,,,,1.0
GU190215,7,peakfrag250_orf1ab,,,,,5,,True,,,,,,1.0
KF268336,7,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
KF268337,7,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
MF370205,7,peakfrag250_orf1ab,,,,,4,,True,,,,,,1.0
MG762674,7,peakfrag250_orf1ab,,,,,6,,False,,,,,,0.0
MT549854,7,peakfrag250_orf1ab,,,,,3,,True,,,,,,1.0
MW218395,7,peakfrag250_orf1ab,,,,,2,,True,,,,,,1.0
NC_048211,7,peakfrag250_orf1ab,,,,,5,,True,,,,,,1.0
ON648240,7,peakfrag250_orf1ab,,,,,5,,True,,,,,,0.572
OQ297728,7,peakfrag250_orf1ab,,,,,3,,True,,,,,,1.0
EF065509,10,peakfrag250_orf1ab,,,,,1,,True,,,,,,1.0
GU190215,10,peakfrag250_orf1ab,,,,,7,,True,,,,,,1.0
KF268336,10,peakfrag250_orf1ab,,,,,7,,False,,,,,,0.0
KF268337,10,peakfrag250_orf1ab,,,,,7,,False,,,,,,0.0
MF370205,10,peakfrag250_orf1ab,,,,,0,,False,,,,,,0.0
MG762674,10,peakfrag250_orf1ab,,,,,4,,True,,,,,,1.0
MT549854,10,peakfrag250_orf1ab,,,,,4,,True,,,,,,1.0
MW218395,10,peakfrag250_orf1ab,,,,,1,,True,,,,,,1.0
NC_048211,10,peakfrag250_orf1ab,,,,,7,,True,,,,,,1.0
ON648240,10,peakfrag250_orf1ab,,,,,7,,True,,,,,,0.572
OQ297728,10,peakfrag250_orf1ab,,,,,4,,True,,,,,,1.0
